8102;ZASTAVA (YU)
8107;ADRIA CARAVAN (YU)
8109;TPV (SLO)
8110;ADRIA MOBIL (SLO)
8111;TPV PRIKOLICE (SLO)
8202;UAP (R)
8203;UZINA MECANICA (R)
8210;OLTCIT (R)
8212;DACIA (RO)
8251;SSANGYONG (ROK)
8252;HYUNDAI MOTOR (ROK)
8253;KIA MOTOR (ROK)
8254;HYOSUNG (ROK)
8255;DAEWOO (ROK)
8257;DAELIM (ROK)
8258;HYUNDAI PREC.(ROK)
8260;GM DAEWOO (ROK)
8265;GM Korea
8306;MAGYAR SUZUKI (H)
8307;AUDI (H)
8352;MARUTI (IND)
8356;HONDA (IND)
8357;HYUNDAI MOTOR (IND)
8358;TATA ENG.(IND)
8458;LANSING,VREDEN
8490;UNSINN,H.
8566;FORD (D)
8638;UNSINN FZ-TECHNIK
8681;TIAG
8701;REWACO
8718;MICHAELSEN
8722;FENDT CARAVAN
8757;CI WILK
8773;MCC SMART
8808;STUFF
9050;WIDEROE (N)
9101;VOLVO (S)
9107;SAAB-SCANIA (S)
9116;SAAB AUTOMOBILE (S)
9122;HUSABERG (S)
9124;CABBY (S)
9202;FSO (PL)
9206;FSM (PL)
9216;ZSP NIEWIADOW (PL)
9225;FABRYKA PRZYCZEP(PL)
9227;SORELPOL (PL)
9301;GAS (SU)
9308;WOLGA-AUTOW.-VAZ(SU)
9310;AZLK MOSKAU (SU)
9312;SAS (SU)
9330;IRBIT MOTORC.PL.(SU)
9402;SAAB VALMET (SF)
9609;BRENDERUP (DK)
9611;PEDERSEN (DK)
9615;FRENDERUP (DK)
9616;COMBI-CAMP (DK)
9624;CAMP-LET (DK)
9628;FORD (NL)
9629;VOLVO (NL)
9631;NOVEL (NL)
9638;WERKVOORZ.-SCHAP(NL)
9643;WAGENBOUW HAPERT(NL)
9644;NETHERLANDS CAR (NL)
9646;FLAMINGO TRAIL.(NL)
9648;NISSAN EUROPE (NL)
9702;SARIS (NL)
9708;VAN DOORNE-DAF (NL)
9716;KIP (NL)
9747;DAF (NL)
9755;ANSSEMS (NL)
9758;MITSUBISHI (NL)
9759;HENRA (NL)
9840;MZ MOTORRAD-U.ZWEIR.
9843;TRIKETEC
9881;KNAUS TABBERT
9891;SMART
9913;WESTFALIA-HEINEMANN
9939;SOMMER Motorradtechnik
9943;OPEN CONCEPTS
9953;E.-ATV RACING
9958;AUWAERTER,FAHRZEUGW.
